"filename", "language", "JSON", "Markdown", "YAML", "JSON with Comments", "TypeScript", "TypeScript JSX", "XML", "JavaScript", "PostCSS", "MS SQL", "HTML", "Properties", "comment", "blank", "total"
"c:\Servers\Foundry\.claude\CLAUDE.md", "Markdown", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 124
"c:\Servers\Foundry\.claude\settings.json", "JSON with Comments", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Servers\Foundry\.cursor\hooks.json", "JSON", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Servers\Foundry\.github\chatmodes\NextJSAgent.chatmode.md", "Markdown", 0, 478, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 119, 597
"c:\Servers\Foundry\.github\copilot-instructions.md", "Markdown", 0, 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 279
"c:\Servers\Foundry\.github\dependabot.yml", "YAML", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 42
"c:\Servers\Foundry\.github\labeler.yml", "YAML", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 37
"c:\Servers\Foundry\.github\release-notes.yml", "YAML", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Servers\Foundry\.github\workflows\codeql.yml", "YAML", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 37
"c:\Servers\Foundry\.github\workflows\labeler.yml", "YAML", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Servers\Foundry\.github\workflows\release-notes.yml", "YAML", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"c:\Servers\Foundry\AGENTS.md", "Markdown", 0, 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 338
"c:\Servers\Foundry\LAYOUT.md", "Markdown", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 27
"c:\Servers\Foundry\README.md", "Markdown", 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 73, 217
"c:\Servers\Foundry\SECURITY.md", "Markdown", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 59
"c:\Servers\Foundry\TODO_Foundry.md", "Markdown", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 95
"c:\Servers\Foundry\apps\desktop\package.json", "JSON", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Servers\Foundry\apps\keycloak-theme\.github\workflows\ci.yml", "YAML", 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 162
"c:\Servers\Foundry\apps\keycloak-theme\.storybook\main.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Servers\Foundry\apps\keycloak-theme\.storybook\preview-head.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 7, 45
"c:\Servers\Foundry\apps\keycloak-theme\.storybook\preview.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Servers\Foundry\apps\keycloak-theme\README.md", "Markdown", 0, 221, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 318
"c:\Servers\Foundry\apps\keycloak-theme\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 2, 17
"c:\Servers\Foundry\apps\keycloak-theme\keycloak-theme_to_publish\README.md", "Markdown", 0, 221, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 318
"c:\Servers\Foundry\apps\keycloak-theme\keycloak-theme_to_publish\keycloak-theme\public\early-color-scheme.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 11, 50
"c:\Servers\Foundry\apps\keycloak-theme\keycloak-theme_to_publish\keycloak-theme\public\keycloak-theme\login\js\authChecker.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 20, 17, 95
"c:\Servers\Foundry\apps\keycloak-theme\keycloak-theme_to_publish\keycloak-theme\public\keycloak-theme\login\js\passkeysConditionalAuth.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 8, 11, 87
"c:\Servers\Foundry\apps\keycloak-theme\keycloak-theme_to_publish\keycloak-theme\public\keycloak-theme\login\js\rfc4648.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 139, 0, 0, 0, 0, 11, 36, 186
"c:\Servers\Foundry\apps\keycloak-theme\keycloak-theme_to_publish\keycloak-theme\public\keycloak-theme\login\js\webauthnAuthenticate.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 9, 20, 113
"c:\Servers\Foundry\apps\keycloak-theme\keycloak-theme_to_publish\keycloak-theme\public\keycloak-theme\login\js\webauthnRegister.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 113, 0, 0, 0, 0, 7, 33, 153
